SYMBOL,SECURITY_NAME,GICS_SECTOR,GICS_SUB_INDUSTRY,HEADQUARTERS,DATE_ADDED,CIK,FOUNDED
MAR,Marriott International,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Bethesda, Maryland",,0001048286,1927
MAS,Masco,Industrials,Building Products,"Livonia, Michigan",,0000062996,1929
MCD,McDonalds,Consumer Discretionary,Restaurants,"Chicago, Illinois",,0000063908,1940
MCHP,Microchip Technology,Information Technology,Semiconductors,"Chandler, Arizona",,0000827054,1989
MCK,McKesson,Health Care,Health Care Distributors,"Irving, Texas",,0000927653,1833
MCO,Moodys,Financials,Financial Exchanges,"New York, New York",,0001059556,1900
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",,0001103982,2012
MDT,Medtronic,Health Care,Health Care Equipment,"Dublin, Ireland",,0001613103,1949
MET,MetLife,Financials,Life & Health Insurance,"New York, New York",,0001099219,1868
META,Meta Platforms,Communication Services,Interactive Media & Services,"Menlo Park, California",,0001326801,2004
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",,0000789570,1986
MHK,Mohawk Industries,Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",,0000851968,1878
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,0000063754,1889
MKTX,MarketAxess,Financials,Financial Exchanges,"New York, New York",,0001278021,2000
MLM,Martin Marietta Materials,Materials,Construction Materials,"Raleigh, North Carolina",,0000916076,1993
MMC,Marsh McLennan,Financials,Insurance Brokers,"New York, New York",,0000062709,1905
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",,0000066740,1902
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic,"Corona, California",,0000865752,1985
MOH,Molina Healthcare,Health Care,Managed Health Care,"Long Beach, California",,0000826940,1980
MOS,Mosaic Company,Materials,Fertilizers & Agricultural,"Tampa, Florida",,0001285785,2004
MPC,Marathon Petroleum,Energy,Oil & Gas Refining,"Findlay, Ohio",,0001510295,1887
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,"Kirkland, Washington",,0001280452,1997
MRK,Merck & Co.,Health Care,Pharmaceuticals,"Rahway, New Jersey",,0000310158,1891
MRNA,Moderna,Health Care,Biotechnology,"Cambridge, Massachusetts",,0001682852,2010
MRO,Marathon Oil,Energy,Oil & Gas Exploration,"Houston, Texas",,0000101778,1887
MS,Morgan Stanley,Financials,Investment Banking,"New York, New York",,0000895421,1935
MSCI,MSCI Inc.,Financials,Financial Exchanges,"New York, New York",,0001408198,1969
MSFT,Microsoft,Information Technology,Systems Software,"Redmond, Washington",,0000789019,1975
MSI,Motorola Solutions,Information Technology,Communications Equipment,"Chicago, Illinois",,0000068505,1928
MTB,M&T Bank,Financials,Regional Banks,"Buffalo, New York",,0000036270,1856
MTCH,Match Group,Communication Services,Interactive Media & Services,"Dallas, Texas",,0001575189,1995
MTD,Mettler-Toledo,Health Care,Life Sciences Tools & Services,"Columbus, Ohio",,0001037646,1945
MU,Micron Technology,Information Technology,Semiconductors,"Boise, Idaho",,0000723125,1978
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Miami, Florida",,0001513761,1966
NDAQ,Nasdaq,Financials,Financial Exchanges,"New York, New York",,0001120193,1971
NDSN,Nordson Corporation,Industrials,Industrial Machinery,"Westlake, Ohio",,0000072331,1954
NEE,NextEra Energy,Utilities,Electric Utilities,"Juno Beach, Florida",,0000753308,1925
NEM,Newmont,Materials,Gold,"Denver, Colorado",,0001164727,1921
NFLX,Netflix,Communication Services,Movies & Entertainment,"Los Gatos, California",,0001065280,1997
NI,NiSource,Utilities,Multi-Utilities,"Merrillville, Indiana",,0001111711,1912
NKE,Nike,Consumer Discretionary,Footwear,"Beaverton, Oregon",,0000320187,1964
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"Falls Church, Virginia",,0001133421,1939
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",,0001373715,2004
NRG,NRG Energy,Utilities,Independent Power Producers,"Houston, Texas",,0001013871,1989
NSC,Norfolk Southern,Industrials,Rail Transportation,"Atlanta, Georgia",,0000702165,1982
NTAP,NetApp,Information Technology,Technology Hardware,"San Jose, California",,0001002047,1992
NTRS,Northern Trust,Financials,Asset Management,"Chicago, Illinois",,0000073124,1889
NUE,Nucor,Materials,Steel,"Charlotte, North Carolina",,0000073309,1940
NVDA,Nvidia,Information Technology,Semiconductors,"Santa Clara, California",,0001045810,1993
NVR,NVR Inc.,Consumer Discretionary,Homebuilding,"Reston, Virginia",,0000906163,1980
NWS,News Corp (Class B),Communication Services,Publishing,"New York, New York",,0001564708,2013
NWSA,News Corp (Class A),Communication Services,Publishing,"New York, New York",,0001564708,2013
NXPI,NXP Semiconductors,Information Technology,Semiconductors,"Eindhoven, Netherlands",,0001413447,2006
O,Realty Income,Real Estate,Retail REITs,"San Diego, California",,0000726728,1969
ODFL,Old Dominion Freight,Industrials,Cargo Ground Transportation,"Thomasville, North Carolina",,0000878927,1934
OKE,ONEOK,Energy,Oil & Gas Storage,"Tulsa, Oklahoma",,0001039684,1906
OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",,0000029989,1986
ON,ON Semiconductor,Information Technology,Semiconductors,"Scottsdale, Arizona",,0001097864,1999
ORCL,Oracle Corporation,Information Technology,Application Software,"Austin, Texas",,0001341439,1977
ORLY,OReilly Automotive,Consumer Discretionary,Automotive Retail,"Springfield, Missouri",,0000898173,1957
OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut",,0001781335,1853
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration,"Houston, Texas",,0000797468,1920
PANW,Palo Alto Networks,Information Technology,Systems Software,"Santa Clara, California",,0001327567,2005
PARA,Paramount Global,Communication Services,Movies & Entertainment,"New York, New York",,0000813828,2019
PAYC,Paycom Software,Industrials,Human Resource Services,"Oklahoma City, Oklahoma",,0001590955,1998
PAYX,Paychex,Industrials,Human Resource Services,"Rochester, New York",,0000723531,1971
PCAR,Paccar,Industrials,Construction Machinery,"Bellevue, Washington",,0000075362,1905
PCG,PG&E Corporation,Utilities,Multi-Utilities,"Oakland, California",,0001004980,1905
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,"Newark, New Jersey",,0000081033,1903
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic,"Purchase, New York",,0000077476,1965
PFE,Pfizer,Health Care,Pharmaceuticals,"New York, New York",,0000078003,1849
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",,0001126328,1879
PG,Procter & Gamble,Consumer Staples,Household Products,"Cincinnati, Ohio",,0000080424,1837
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",,0000080661,1937
PH,Parker Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",,0000076334,1917
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",,0000822416,1950
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging,"Lake Forest, Illinois",,0000075677,1959
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",,0001045609,1983
PLTR,Palantir Technologies,Information Technology,Application Software,"Denver, Colorado",,0001321655,2003
PM,Philip Morris International,Consumer Staples,Tobacco,"Stamford, Connecticut",,0001413329,2008
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",,0000713676,1845
PNR,Pentair,Industrials,Industrial Machinery,"London, United Kingdom",,0000077360,1966
PNW,Pinnacle West Capital,Utilities,Electric Utilities,"Phoenix, Arizona",,0000764622,1985
PODD,Insulet Corporation,Health Care,Health Care Equipment,"Acton, Massachusetts",,0001145197,2000
POOL,Pool Corporation,Consumer Discretionary,Distributors,"Covington, Louisiana",,0000945841,1993
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",,0000079879,1883
PPL,PPL Corporation,Utilities,Electric Utilities,"Allentown, Pennsylvania",,0000922224,1920
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",,0001137774,1875
PSA,Public Storage,Real Estate,Self-Storage REITs,"Glendale, California",,0001393311,1972
PSX,Phillips 66,Energy,Oil & Gas Refining,"Houston, Texas",,0001534701,2012
PTC,PTC Inc.,Information Technology,Application Software,"Boston, Massachusetts",,0000857005,1985
PWR,Quanta Services,Industrials,Construction & Engineering,"Houston, Texas",,0001040971,1997
PYPL,PayPal,Financials,Transaction & Payment Processing,"San Jose, California",,0001633917,1998
QCOM,Qualcomm,Information Technology,Semiconductors,"San Diego, California",,0000804328,1985
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",,0001604778,2015
RCL,Royal Caribbean Group,Consumer Discretionary,Hotels Resorts & Cruise Lines,"Miami, Florida",,0000884887,1968
REG,Regency Centers,Real Estate,Retail REITs,"Jacksonville, Florida",,0000910606,1963
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",,0000872589,1988
RF,Regions Financial,Financials,Regional Banks,"Birmingham, Alabama",,0001281761,1971
RHI,Robert Half,Industrials,Human Resource Services,"Menlo Park, California",,0000315213,1948
RJF,Raymond James,Financials,Investment Banking,"St. Petersburg, Florida",,0000720005,1962
RL,Ralph Lauren Corporation,Consumer Discretionary,Apparel & Accessories,"New York, New York",,0001037038,1967
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",,0000943819,1989
ROK,Rockwell Automation,Industrials,Electrical Components,"Milwaukee, Wisconsin",,0001024478,1903
ROL,Rollins Inc.,Industrials,Environmental Services,"Atlanta, Georgia",,0000084839,1948
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",,0000882835,1981
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",,0000745732,1982
RSG,Republic Services,Industrials,Environmental Services,"Phoenix, Arizona",,0001060391,1998
RTX,RTX Corporation,Industrials,Aerospace & Defense,"Arlington, Virginia",,0000101829,2020
RVTY,Revvity,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,0000031791,1937
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",,0001034054,1989
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",,0000829224,1971
SCHW,Charles Schwab,Financials,Investment Banking,"Westlake, Texas",,0000316709,1971
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",,0000089800,1866
SJM,J.M. Smucker Company,Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",,0000091419,1897
SLB,Schlumberger,Energy,Oil & Gas Equipment,"Houston, Texas",,0000087347,1926
SMCI,Super Micro Computer,Information Technology,Technology Hardware,"San Jose, California",,0001341126,1993
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",,0000091440,1920
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",,0000883241,1986
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",,0000092122,1945
SOLV,Solventum,Health Care,Health Care Equipment,"St. Paul, Minnesota",,0001996756,2024
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",,0001063761,1993
SPGI,S&P Global,Financials,Financial Exchanges,"New York, New York",,0000064040,1860
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",,0001032208,1998
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",,0001757898,1985
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",,0001022671,1993
STT,State Street,Financials,Asset Management,"Boston, Massachusetts",,0000093751,1792
STX,Seagate Technology,Information Technology,Technology Hardware,"Fremont, California",,0001137789,1979
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Victor, New York",,0000016918,1945
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging,"Dublin, Ireland",,0001958140,2024
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",,0000093556,1843
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",,0000004127,1962
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",,0001601712,2003
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",,0000310764,1941
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",,0000096021,1969
T,AT&T,Communication Services,Integrated Telecom,"Dallas, Texas",,0000732717,1983
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",,0000024545,1786
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",,0001260221,1993
TDY,Teledyne Technologies,Industrials,Aerospace & Defense,"Thousand Oaks, California",,0001094285,1960
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",,0000727207,1976
TEL,TE Connectivity,Information Technology,Electronic Components,"Schaffhausen, Switzerland",,0001558370,2007
TER,Teradyne,Information Technology,Semiconductor Equipment,"North Reading, Massachusetts",,0000097210,1960
TFC,Truist Financial,Financials,Regional Banks,"Charlotte, North Carolina",,0000092230,2019
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",,0000096943,1943
TGT,Target,Consumer Staples,Consumer Staples Merch,"Minneapolis, Minnesota",,0000027419,1902
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",,0000109198,1956
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",,0000097745,1956
TMUS,T-Mobile US,Communication Services,Wireless Telecom,"Bellevue, Washington",,0001283699,1994
TPR,Tapestry Inc.,Consumer Discretionary,Apparel & Accessories,"New York, New York",,0001116132,1941
TRGP,Targa Resources,Energy,Oil & Gas Storage,"Houston, Texas",,0001389170,2005
TRMB,Trimble Inc.,Information Technology,Electronic Equipment,"Sunnyvale, California",,0000864749,1978
TROW,T. Rowe Price,Financials,Asset Management,"Baltimore, Maryland",,0001113169,1937
TRV,Travelers Companies,Financials,Property & Casualty Insurance,"New York, New York",,0000086312,1853
TSCO,Tractor Supply,Consumer Discretionary,Specialty Stores,"Brentwood, Tennessee",,0000916365,1938
TSLA,Tesla Inc.,Consumer Discretionary,Automobile Manufacturers,"Austin, Texas",,0001318605,2003
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,"Springdale, Arkansas",,0000100493,1935
TT,Trane Technologies,Industrials,Building Products,"Dublin, Ireland",,0001466258,1885
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",,0000946581,1993
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",,0000097476,1951
TXT,Textron,Industrials,Aerospace & Defense,"Providence, Rhode Island",,0000217346,1923
TYL,Tyler Technologies,Information Technology,Application Software,"Plano, Texas",,0000860731,1966
UAL,United Airlines Holdings,Industrials,Passenger Airlines,"Chicago, Illinois",,0000100517,1926
UBER,Uber Technologies,Industrials,Passenger Ground Transportation,"San Francisco, California",,0001543151,2009
UDR,UDR Inc.,Real Estate,Residential REITs,"Highlands Ranch, Colorado",,0000074208,1972
UHS,Universal Health Services,Health Care,Health Care Facilities,"King of Prussia, Pennsylvania",,0000352915,1979
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,"Bolingbrook, Illinois",,0001403568,1990
UNH,UnitedHealth Group,Health Care,Managed Health Care,"Minnetonka, Minnesota",,0000731766,1977
UNP,Union Pacific,Industrials,Rail Transportation,"Omaha, Nebraska",,0000100885,1862
UPS,United Parcel Service,Industrials,Air Freight & Logistics,"Atlanta, Georgia",,0001090727,1907
URI,United Rentals,Industrials,Trading Companies,"Stamford, Connecticut",,0001067701,1997
USB,U.S. Bancorp,Financials,Diversified Banks,"Minneapolis, Minnesota",,0000036104,1863
V,Visa Inc.,Financials,Transaction & Payment Processing,"San Francisco, California",,0001403161,1958
VICI,Vici Properties,Real Estate,Casino REITs,"New York, New York",,0001705696,2017
VLO,Valero Energy,Energy,Oil & Gas Refining,"San Antonio, Texas",,0001035002,1980
VLTO,Veralto,Industrials,Environmental Services,"Waltham, Massachusetts",,0001967680,2023
VMC,Vulcan Materials,Materials,Construction Materials,"Birmingham, Alabama",,0001396009,1909
VRSK,Verisk Analytics,Industrials,Research & Consulting,"Jersey City, New Jersey",,0001442145,1971
VRSN,VeriSign,Information Technology,Internet Services & Infrastructure,"Reston, Virginia",,0001014473,1995
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,"Boston, Massachusetts",,0000875320,1989
VST,Vistra,Utilities,Independent Power Producers,"Irving, Texas",,0001692819,2016
VTR,Ventas,Real Estate,Health Care REITs,"Chicago, Illinois",,0000740260,1998
VTRS,Viatris,Health Care,Pharmaceuticals,"Canonsburg, Pennsylvania",,0001792044,2020
VZ,Verizon,Communication Services,Integrated Telecom,"New York, New York",,0000732712,1983
WAB,Wabtec,Industrials,Rail Transportation,"Pittsburgh, Pennsylvania",,0000943452,1999
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,"Milford, Massachusetts",,0001000697,1958
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,"Deerfield, Illinois",,0001618921,1901
WBD,Warner Bros. Discovery,Communication Services,Movies & Entertainment,"New York, New York",,0001437107,2022
WDC,Western Digital,Information Technology,Technology Hardware,"San Jose, California",,0000106040,1970
WEC,WEC Energy Group,Utilities,Electric Utilities,"Milwaukee, Wisconsin",,0000783325,1981
WELL,Welltower,Real Estate,Health Care REITs,"Toledo, Ohio",,0000766704,1970
WFC,Wells Fargo,Financials,Diversified Banks,"San Francisco, California",,0000072971,1852
WM,Waste Management,Industrials,Environmental Services,"Houston, Texas",,0000823768,1968
WMB,Williams Companies,Energy,Oil & Gas Storage,"Tulsa, Oklahoma",,0000107263,1908
WMT,Walmart,Consumer Staples,Consumer Staples Merch,"Bentonville, Arkansas",,0000104169,1962
WRB,W. R. Berkley,Financials,Property & Casualty Insurance,"Greenwich, Connecticut",,0000011544,1967
WRK,WestRock,Materials,Paper & Plastic Packaging,"Atlanta, Georgia",,0001636023,2015
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,"Exton, Pennsylvania",,0000105770,1923
WTW,Willis Towers Watson,Financials,Insurance Brokers,"London, United Kingdom",,0001140536,1828
WY,Weyerhaeuser,Real Estate,Timber REITs,"Seattle, Washington",,0000106535,1900
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",,0001174922,2002
XEL,Xcel Energy,Utilities,Electric Utilities,"Minneapolis, Minnesota",,0000072903,1909
XOM,ExxonMobil,Energy,Integrated Oil & Gas,"Spring, Texas",,0000034088,1999
XYL,Xylem Inc.,Industrials,Industrial Machinery,"Washington, D.C.",,0001524472,2011
YUM,Yum! Brands,Consumer Discretionary,Restaurants,"Louisville, Kentucky",,0001041061,1997
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,"Warsaw, Indiana",,0001136869,1927
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment,"Lincolnshire, Illinois",,0000877212,1969
ZTS,Zoetis,Health Care,Pharmaceuticals,"Parsippany, New Jersey",,0001555280,1952
